Using device: cpu
Scaler Factors: [460.           1.20000005   1.19241403   1.98983454   1.95362956]
Scaler saved at /home/f25moham/CSTR/nonlinear/total/multi_PL/new1/scaler.pkl
Scaled dataset saved at /home/f25moham/CSTR/nonlinear/total/multi_PL/new1/scaled_data.csv
Scaler Factors outside function: [460.           1.20000005   1.19241403   1.98983454   1.95362956]
Scaler loaded successfully.
Scaler Type: <class 'sklearn.preprocessing._data.MaxAbsScaler'>
Scaler Factors (scale_): [460.           1.20000005   1.19241403   1.98983454   1.95362956]
Namespace(model='NN', model_id='MODELID', input_dim=2, hidden_dim=32, hidden_num=2, z0_dim=3, optimizer='adam', epochs=1000, batch_size=16, lr=0.0001, mu=1, max_subiter=500, eta=0.8, sigma=2, mu_safe=1000000000.0, dtype=32, dataset_type='cstr', dataset_path='./data.csv', val_ratio=0.2, job='train', runs=1, run=0)
Scaler Factors: [460.           1.20000005   1.19241403   1.98983454   1.95362956]
Scaler saved at /home/f25moham/CSTR/nonlinear/total/multi_PL/new1/scaler.pkl
Scaled dataset saved at /home/f25moham/CSTR/nonlinear/total/multi_PL/new1/scaled_data.csv
train set size: 208, val set size: 68, test set size: 68
Dtypes after casting:
[torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32]
[torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32]
[torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32, torch.float32]
Start Training…
epoch: 00050 loss_train: 0.06114 loss_val: 0.06432 viol_train: 12.59595 viol_val: 16.52651
epoch: 00100 loss_train: 0.05598 loss_val: 0.05771 viol_train: 11.70395 viol_val: 12.42659
epoch: 00150 loss_train: 0.04743 loss_val: 0.05227 viol_train: 9.64890 viol_val: 10.54020
epoch: 00200 loss_train: 0.03427 loss_val: 0.03494 viol_train: 5.89095 viol_val: 5.99865
epoch: 00250 loss_train: 0.02104 loss_val: 0.02217 viol_train: 2.66533 viol_val: 4.46663
epoch: 00300 loss_train: 0.01403 loss_val: 0.01456 viol_train: 3.47132 viol_val: 5.46108
epoch: 00350 loss_train: 0.01046 loss_val: 0.01152 viol_train: 3.64048 viol_val: 4.67233
epoch: 00400 loss_train: 0.00792 loss_val: 0.00851 viol_train: 3.30094 viol_val: 4.35076
epoch: 00450 loss_train: 0.00606 loss_val: 0.00615 viol_train: 3.11435 viol_val: 3.86606
epoch: 00500 loss_train: 0.00484 loss_val: 0.00481 viol_train: 2.87387 viol_val: 3.61893
epoch: 00550 loss_train: 0.00386 loss_val: 0.00348 viol_train: 2.46963 viol_val: 2.37089
epoch: 00600 loss_train: 0.00308 loss_val: 0.00247 viol_train: 2.11294 viol_val: 2.18347
epoch: 00650 loss_train: 0.00239 loss_val: 0.00206 viol_train: 1.91237 viol_val: 1.98308
epoch: 00700 loss_train: 0.00184 loss_val: 0.00149 viol_train: 1.26334 viol_val: 1.67311
epoch: 00750 loss_train: 0.00141 loss_val: 0.00122 viol_train: 0.94665 viol_val: 0.96691
epoch: 00800 loss_train: 0.00105 loss_val: 0.00109 viol_train: 0.60742 viol_val: 0.71041
epoch: 00850 loss_train: 0.00082 loss_val: 0.00059 viol_train: 0.35831 viol_val: 0.45552
epoch: 00900 loss_train: 0.00062 loss_val: 0.00049 viol_train: 0.27640 viol_val: 0.31333
epoch: 00950 loss_train: 0.00047 loss_val: 0.00039 viol_train: 0.16947 viol_val: 0.38064
epoch: 01000 loss_train: 0.00038 loss_val: 0.00033 viol_train: 0.17555 viol_val: 0.36055
Training Finished!
